,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed,position,height,weight,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
1490,1490,1490,1490,sdosenbac,Sajed Dosenbach,10,0.5,0.2,0.3,0.6,3.2,,0.0,0.4,0.0,0.1,0.6,0.0,0.0,,,,,,0.0,0.0,,12.3,1.5,10.8,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1491,1491,1491,1491,ariegel,Austin Riegel,22,1.09,0.05,1.05,0.59,2.86,,0.18,0.36,0.0,0.27,0.14,0.0,0.0,26.27,1.55,24.73,0.0,,17.19,13.95,29.97,14.5,7.0,7.5,Cutter,70.0,155.0,-3.2025850259151385,-1.0509478817825388,0.2272888409333507,-0.5254128713021384,-1.1581343594094209,-0.0651497801957782,-0.6268015678901868
1492,1492,1492,1492,ssohn,Sam Sohn,32,1.75,0.97,0.78,0.59,20.31,93.66,1.25,1.13,0.0,0.31,0.28,0.0,0.09,,,,,,18.11,23.31,50.13,18.03,13.34,4.69,Handler,68.0,155.0,2.565264075481885,1.286910200550114,-0.734683887304755,-1.070271938507998,-0.2980693650344432,-0.18801994537110325,-0.20402874757427053
1493,1493,1493,1493,zsmith,Zack Smith,51,1.39,0.75,0.65,0.59,8.25,88.82,0.31,1.2,0.0,0.14,0.53,0.0,0.08,32.0,22.0,10.0,0.0,,10.5,8.76,37.81,15.41,3.63,11.78,Handler,69.0,175.0,-1.146972831005315,0.29203247504064966,0.7025645692261459,-1.022267677296637,-1.9261121846602225,-0.10570115221864777,-0.488445704422516
1494,1494,1494,1494,cbellando,Cam Bellando,12,0.92,0.42,0.5,0.58,3.58,,0.33,0.58,0.0,0.17,0.42,0.0,1.42,44.83,22.67,22.17,0.08,,13.77,7.75,,12.83,1.58,11.25,Handler,,,-2.605181962958001,-1.127803212983067,0.7800525308658047,-0.23391155611887868,0.5933860108772895,0.08229793627795533,0.0029309431602871083
1495,1495,1495,1495,ccoyne,Cullen Coyne,12,0.58,0.0,0.58,0.58,3.75,,0.42,0.25,0.0,0.33,0.58,0.0,0.0,,,,,,12.06,9.92,25.21,14.17,1.83,12.33,Defender,72.0,175.0,-3.647844863544608,-1.5191829168709108,-0.36544460808230467,-0.4851907665879296,-0.3100320141064304,-0.08587172136491632,-0.6699625764118938
1496,1496,1496,1496,cikeda,Casey Ikeda,12,0.75,0.42,0.33,0.58,19.17,96.23,0.83,0.5,0.08,0.0,0.33,0.0,0.0,,,,,,19.94,19.83,34.87,20.33,6.92,13.42,Handler,,,-1.3311841085356677,-0.7494905793508386,-0.6011358158180486,-1.2152401135674569,-0.8233786111834193,-0.210974925340482,-0.8473112799799409
1497,1497,1497,1497,dcunningh,Dan Cunningham,19,0.68,0.26,0.42,0.58,3.79,,0.53,0.21,0.0,0.0,0.11,0.0,0.0,37.13,20.19,16.94,0.0,,13.86,6.53,53.23,13.0,1.05,11.95,Handler,,,1.730589316225334,1.8089750330613348,0.9923348272768953,-0.3482540545945794,-0.5016561608760692,0.05012917234741621,0.4878499112168953
1498,1498,1498,1498,dsullivan,Dustin Sullivan,26,1.08,0.27,0.81,0.58,6.96,91.41,0.42,0.54,0.0,0.12,0.15,0.0,0.08,,,,,,7.67,10.92,42.61,13.15,9.23,3.92,Cutter,,,1.0397094455992135,0.9303350547099123,-1.098770714025303,-1.0477932359062947,-1.2037457628658583,-0.2514194397164757,-0.6049936645218859
1499,1499,1499,1499,kkula,Kevin Kula,33,0.76,0.12,0.64,0.58,1.58,,0.03,0.3,0.0,0.15,0.27,0.0,0.0,,,,,,3.06,2.24,,7.58,1.52,6.06,Handler,,,-2.626271688377436,-1.0395220254215045,0.32582192072139465,0.10560879608780926,0.6367643978592038,0.0809036134099035,0.007168272311725787
