,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,year,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,height,weight,predicted position,player_id,oscorerate,dscorerate,o_point_on_off_rating,d_point_on_off_rating,total_on_off_rating,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
63,63,63,63,63,63,msteiner,Mitchell Steiner,12,2.17,1.08,1.08,1.75,7.58,94.79,0.0,1.08,0.0,0.25,0.92,0.0,0.0,ROC,2012,,,,,,,,,,,,72.0,,Defender,,,,,,,-0.5003369071621946,-0.581320400243463,-1.4229023914654064,-0.21124049982754023,0.29427202591577917,-0.13142567985071796,-0.4802978164051577
64,64,64,64,64,64,bsmith,Brodie Smith,14,3.5,2.93,0.57,1.71,10.29,85.71,0.0,1.71,0.0,0.57,0.5,0.0,0.0,IND,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
65,65,65,65,65,65,dbrandolp,David Brandolph,16,3.19,2.25,0.94,1.69,8.25,85.71,0.0,1.38,0.0,0.38,0.25,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
66,66,66,66,66,66,araymond,Austin Raymond,8,1.5,0.38,1.13,1.63,3.13,92.59,0.0,0.38,0.0,0.0,0.5,0.0,0.0,CON,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
67,67,67,67,67,67,cferguson,Christo Ferguson,13,3.62,1.62,2.0,1.62,16.15,95.02,0.0,1.92,0.0,0.54,0.46,0.0,0.0,DET,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
68,68,68,68,68,68,crebholz,Cody Rebholz,10,1.5,1.0,0.5,1.6,2.7,90.0,0.0,0.3,0.0,0.1,0.5,0.0,0.0,RIR,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
69,69,69,69,69,69,dkhoadang,Dang Khoa Dang,10,1.9,0.3,1.6,1.6,3.3,89.19,0.0,0.4,0.0,0.2,0.3,0.0,0.0,RIR,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
70,70,70,70,70,70,mford,Michael Ford,10,2.0,1.4,0.6,1.6,5.6,86.15,0.0,0.9,0.0,0.2,0.7,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Handler,,,,,,,0.3746657490159099,0.18604124404458522,-0.023571345617184908,1.0188795378671254,0.5118086889790886,0.15011404052944094,0.4232895313184035
71,71,71,71,71,71,mheath,Matthew Heath,10,1.5,0.3,1.2,1.6,2.8,87.5,0.0,0.4,0.0,0.1,0.6,0.0,0.0,RIR,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
72,72,72,72,72,72,ppierce,Player Pierce,10,2.4,1.7,0.7,1.6,7.8,97.5,0.0,1.0,0.0,0.3,0.5,0.0,0.0,CIN,2012,,,,,,,,,,,,75.0,,Handler,,,,,,,3.296092952479463,1.4927236774229462,-1.1986108339456036,0.49477449928174344,1.19459358335432,0.0034903811289524653,0.4958702315283515
